wl,n
0.53673,0.55889
0.53906,0.56435
0.54142,0.56988
0.54379,0.57555
0.54619,0.58128
0.54860,0.58716
0.55104,0.59319
0.55350,0.59929
0.55598,0.60556
0.55849,0.61196
0.56101,0.61851
0.56356,0.62519
0.56614,0.63201
0.56873,0.63899
0.57136,0.64610
0.57400,0.65342
0.57667,0.66086
0.57937,0.66851
0.58209,0.67633
0.58483,0.68435
0.58760,0.69256
0.59040,0.70096
0.59323,0.70957
0.59608,0.71845
0.59896,0.72751
0.60187,0.73677
0.60480,0.74635
0.60777,0.75612
0.61076,0.76618
0.61378,0.77657
0.61684,0.78719
0.61992,0.79815
0.62304,0.80940
0.62618,0.82099
0.62936,0.83290
0.63257,0.84522
0.63582,0.85783
0.63909,0.87086
0.64241,0.88437
0.64575,0.89815
0.64913,0.91250
0.65255,0.92723
0.65600,0.94244
0.65949,0.95827
0.66302,0.97456
0.66658,0.99142
0.67018,1.00885
0.67383,1.02678
0.67751,1.04542
0.68123,1.06475
0.68500,1.08469
0.68880,1.10544
0.69265,1.12692
0.69654,1.14916
0.70048,1.17210
0.70446,1.19586
0.70848,1.22072
0.71255,1.24623
0.71667,1.27267
0.72084,1.30012
0.72505,1.32829
0.72932,1.35763
0.73363,1.38753
0.73800,1.41881
0.74242,1.45052
0.74689,1.48310
0.75142,1.51655
0.75600,1.55061
0.76064,1.58489
0.76533,1.61955
0.77009,1.65413
0.77490,1.68859
0.77977,1.72192
0.78471,1.75427
0.78971,1.78488
0.79477,1.81296
0.79990,1.83807
0.80509,1.85909
0.81035,1.87531
0.81569,1.88587
0.82109,1.88979
0.82656,1.88656
0.83211,1.87539
0.83773,1.85601
0.84343,1.82839
0.84921,1.79304
0.85506,1.75087
0.86100,1.70258
0.86702,1.64985
0.87313,1.59457
0.87932,1.53824
0.88560,1.48243
0.89197,1.42868
0.89844,1.37779
0.90499,1.33076
0.91165,1.28752
0.91840,1.24832
0.92526,1.21266
0.93221,1.18042
0.93927,1.15085
0.94644,1.12312
0.95372,1.09684
0.96112,1.07150
0.96863,1.04652
0.97625,1.02147
0.98400,0.99637
0.99187,0.97093
0.99987,0.94528

wl,k
0.22543,1.99044
0.22584,1.99503
0.22625,1.99963
0.22666,2.00423
0.22708,2.00883
0.22749,2.01343
0.22791,2.01806
0.22833,2.02269
0.22875,2.02733
0.22918,2.03198
0.22960,2.03667
0.23003,2.04133
0.23045,2.04605
0.23088,2.05078
0.23131,2.05553
0.23175,2.06027
0.23218,2.06504
0.23262,2.06983
0.23305,2.07460
0.23349,2.07942
0.23393,2.08427
0.23437,2.08911
0.23482,2.09396
0.23526,2.09885
0.23571,2.10373
0.23616,2.10864
0.23661,2.11355
0.23706,2.11851
0.23752,2.12346
0.23797,2.12842
0.23843,2.13342
0.23889,2.13843
0.23935,2.14346
0.23981,2.14849
0.24028,2.15354
0.24075,2.15862
0.24121,2.16369
0.24168,2.16881
0.24216,2.17393
0.24263,2.17908
0.24311,2.18424
0.24358,2.18941
0.24406,2.19461
0.24454,2.19981
0.24503,2.20506
0.24551,2.21029
0.24600,2.21554
0.24649,2.22084
0.24698,2.22615
0.24747,2.23148
0.24797,2.23681
0.24847,2.24217
0.24896,2.24755
0.24947,2.25295
0.24997,2.25839
0.25047,2.26381
0.25098,2.26927
0.25149,2.27473
0.25200,2.28021
0.25251,2.28569
