wl,n
0.812,2.111246
0.814,2.111066
0.816,2.110887
0.818,2.110710
0.820,2.110534
0.822,2.110359
0.824,2.110186
0.826,2.110015
0.828,2.109844
0.830,2.109675
0.832,2.109507
0.834,2.109340
0.836,2.109175
0.838,2.109011
0.840,2.108848
0.842,2.108687
0.844,2.108526
0.846,2.108367
0.848,2.108209
0.850,2.108052
0.852,2.107897
0.854,2.107742
0.856,2.107589
0.858,2.107437
0.860,2.107286
0.862,2.107136
0.864,2.106987
0.866,2.106839
0.868,2.106692
0.870,2.106547
0.872,2.106402
0.874,2.106259
0.876,2.106116
0.878,2.105975
0.880,2.105834
0.882,2.105695
0.884,2.105557
0.886,2.105419
0.888,2.105283
0.890,2.105147
0.892,2.105013
0.894,2.104879
0.896,2.104747
0.898,2.104615
0.900,2.104484
0.902,2.104354
0.904,2.104225
0.906,2.104097
0.908,2.103970
0.910,2.103844
0.912,2.103718
0.914,2.103594
0.916,2.103470
0.918,2.103347
0.920,2.103225
0.922,2.103104
0.924,2.102984
0.926,2.102864
0.928,2.102746
0.930,2.102628
0.932,2.102511
0.934,2.102394
0.936,2.102279
0.938,2.102164
0.940,2.102050
0.942,2.101937
0.944,2.101824
0.946,2.101713
0.948,2.101602
0.950,2.101491
0.952,2.101382
0.954,2.101273
0.956,2.101165
0.958,2.101057
0.960,2.100951
0.962,2.100845
0.964,2.100739
0.966,2.100635
0.968,2.100531
0.970,2.100428
0.972,2.100325
0.974,2.100223
0.976,2.100122
0.978,2.100021
0.980,2.099921
0.982,2.099822
0.984,2.099723
0.986,2.099625
0.988,2.099528
0.990,2.099431
0.992,2.099334
0.994,2.099239
0.996,2.099144
0.998,2.099049
1.000,2.098955
1.002,2.098862
1.004,2.098769
1.006,2.098677
1.008,2.098586
1.010,2.098495
1.012,2.098404
1.014,2.098315
1.016,2.098225
1.018,2.098136
1.020,2.098048
1.022,2.097961
1.024,2.097873
1.026,2.097787
1.028,2.097701
1.030,2.097615
1.032,2.097530
1.034,2.097446
1.036,2.097362
1.038,2.097278
1.040,2.097195
1.042,2.097112
1.044,2.097030
1.046,2.096949
1.048,2.096868
1.050,2.096787
1.052,2.096707
1.054,2.096627
1.056,2.096548
1.058,2.096470
1.060,2.096391
1.062,2.096314
1.064,2.096236
1.066,2.096159
1.068,2.096083
1.070,2.096007
1.072,2.095931
1.074,2.095856
1.076,2.095782
1.078,2.095707
1.080,2.095634
1.082,2.095560
1.084,2.095487
1.086,2.095415
1.088,2.095343
1.090,2.095271
1.092,2.095200
1.094,2.095129
1.096,2.095058
1.098,2.094988
1.100,2.094918
1.102,2.094849
1.104,2.094780
1.106,2.094712
1.108,2.094643
1.110,2.094576
1.112,2.094508
1.114,2.094441
1.116,2.094375
1.118,2.094308
1.120,2.094242
1.122,2.094177
1.124,2.094112
1.126,2.094047
1.128,2.093982
1.130,2.093918
1.132,2.093854
1.134,2.093791
1.136,2.093728
1.138,2.093665
1.140,2.093603
1.142,2.093541
1.144,2.093479
1.146,2.093418
1.148,2.093356
1.150,2.093296
1.152,2.093235
1.154,2.093175
1.156,2.093116
1.158,2.093056
1.160,2.092997
1.162,2.092938
1.164,2.092880
1.166,2.092821
1.168,2.092764
1.170,2.092706
1.172,2.092649
1.174,2.092592
1.176,2.092535
1.178,2.092479
1.180,2.092423
1.182,2.092367
1.184,2.092311
1.186,2.092256
1.188,2.092201
1.190,2.092147
1.192,2.092092
1.194,2.092038
1.196,2.091984
1.198,2.091931
1.200,2.091878
1.202,2.091825
1.204,2.091772
1.206,2.091720
1.208,2.091668
1.210,2.091616
1.212,2.091564
1.214,2.091513
1.216,2.091462
1.218,2.091411
1.220,2.091360
1.222,2.091310
1.224,2.091260
1.226,2.091210
1.228,2.091160
1.230,2.091111
1.232,2.091062
1.234,2.091013
1.236,2.090964
1.238,2.090916
1.240,2.090868
1.242,2.090820
1.244,2.090773
1.246,2.090725
1.248,2.090678
1.250,2.090631
1.252,2.090584
1.254,2.090538
1.256,2.090492
1.258,2.090446
1.260,2.090400
1.262,2.090354
1.264,2.090309
1.266,2.090264
1.268,2.090219
1.270,2.090174
1.272,2.090130
1.274,2.090085
1.276,2.090041
1.278,2.089998
1.280,2.089954
1.282,2.089911
1.284,2.089867
1.286,2.089824
1.288,2.089782
1.290,2.089739
1.292,2.089697
1.294,2.089654
1.296,2.089612
1.298,2.089571
1.300,2.089529
1.302,2.089488
1.304,2.089446
1.306,2.089405
1.308,2.089365
1.310,2.089324
1.312,2.089284
1.314,2.089243
1.316,2.089203
1.318,2.089163
1.320,2.089124
1.322,2.089084
1.324,2.089045
1.326,2.089006
1.328,2.088967
1.330,2.088928
1.332,2.088890
1.334,2.088851
1.336,2.088813
1.338,2.088775
1.340,2.088737
1.342,2.088699
1.344,2.088662
1.346,2.088624
1.348,2.088587
1.350,2.088550
1.352,2.088513
1.354,2.088477
1.356,2.088440
1.358,2.088404
1.360,2.088367
1.362,2.088331
1.364,2.088295
1.366,2.088260
1.368,2.088224
1.370,2.088189
1.372,2.088154
1.374,2.088119
1.376,2.088084
1.378,2.088049
1.380,2.088014
1.382,2.087980
1.384,2.087945
1.386,2.087911
1.388,2.087877
1.390,2.087843
1.392,2.087810
1.394,2.087776
1.396,2.087743
1.398,2.087709
1.400,2.087676
1.402,2.087643
1.404,2.087611
1.406,2.087578
1.408,2.087545
1.410,2.087513
1.412,2.087481
1.414,2.087449
1.416,2.087417
1.418,2.087385
1.420,2.087353
1.422,2.087321
1.424,2.087290
1.426,2.087259
1.428,2.087227
1.430,2.087196
1.432,2.087166
1.434,2.087135
1.436,2.087104
1.438,2.087074
1.440,2.087043
1.442,2.087013
1.444,2.086983
1.446,2.086953
1.448,2.086923
1.450,2.086893
1.452,2.086864
1.454,2.086834
1.456,2.086805
1.458,2.086776
1.460,2.086746
1.462,2.086717
1.464,2.086689
1.466,2.086660
1.468,2.086631
1.470,2.086603
1.472,2.086574
1.474,2.086546
1.476,2.086518
1.478,2.086490
1.480,2.086462
1.482,2.086434
1.484,2.086406
1.486,2.086379
1.488,2.086351
1.490,2.086324
1.492,2.086297
1.494,2.086269
1.496,2.086242
1.498,2.086215
1.500,2.086189
1.502,2.086162
1.504,2.086135
1.506,2.086109
1.508,2.086082
1.510,2.086056
1.512,2.086030
1.514,2.086004
1.516,2.085978
1.518,2.085952
1.520,2.085926
1.522,2.085901
1.524,2.085875
1.526,2.085850
1.528,2.085824
1.530,2.085799
1.532,2.085774
1.534,2.085749
1.536,2.085724
1.538,2.085699
1.540,2.085674
1.542,2.085650
1.544,2.085625
1.546,2.085601
1.548,2.085577
1.550,2.085552
1.552,2.085528
1.554,2.085504
1.556,2.085480
1.558,2.085456
1.560,2.085432
1.562,2.085409
1.564,2.085385
1.566,2.085362
1.568,2.085338
1.570,2.085315
1.572,2.085292
1.574,2.085268
1.576,2.085245
1.578,2.085222
1.580,2.085200
1.582,2.085177
1.584,2.085154
1.586,2.085131
1.588,2.085109
1.590,2.085087
1.592,2.085064
1.594,2.085042
1.596,2.085020
1.598,2.084998
1.600,2.084976
1.602,2.084954
1.604,2.084932
1.606,2.084910
1.608,2.084888
1.610,2.084867
1.612,2.084845
1.614,2.084824
1.616,2.084802
1.618,2.084781
1.620,2.084760
1.622,2.084739
1.624,2.084718
1.626,2.084697
1.628,2.084676
1.630,2.084655
1.632,2.084634
1.634,2.084614
1.636,2.084593
1.638,2.084573
1.640,2.084552
1.642,2.084532
1.644,2.084512
1.646,2.084492
1.648,2.084471
1.650,2.084451
1.652,2.084431
1.654,2.084412
1.656,2.084392
1.658,2.084372
1.660,2.084352
1.662,2.084333
1.664,2.084313
1.666,2.084294
1.668,2.084274
1.670,2.084255
1.672,2.084236
1.674,2.084217
1.676,2.084197
1.678,2.084178
1.680,2.084159
1.682,2.084140
1.684,2.084122
1.686,2.084103
1.688,2.084084
1.690,2.084066
1.692,2.084047
1.694,2.084028
1.696,2.084010
1.698,2.083992
1.700,2.083973
1.702,2.083955
1.704,2.083937
1.706,2.083919
1.708,2.083901
1.710,2.083883
1.712,2.083865
1.714,2.083847
1.716,2.083829
1.718,2.083812
1.720,2.083794
1.722,2.083776
1.724,2.083759
1.726,2.083741
1.728,2.083724
1.730,2.083707
1.732,2.083689
1.734,2.083672
1.736,2.083655
1.738,2.083638
1.740,2.083621
1.742,2.083604
1.744,2.083587
1.746,2.083570
1.748,2.083553
1.750,2.083536
1.752,2.083520
1.754,2.083503
1.756,2.083486
1.758,2.083470
1.760,2.083453
1.762,2.083437
1.764,2.083421
1.766,2.083404
1.768,2.083388
1.770,2.083372
1.772,2.083356
1.774,2.083340
1.776,2.083324
1.778,2.083308
1.780,2.083292
1.782,2.083276
1.784,2.083260
1.786,2.083244
1.788,2.083229
1.790,2.083213
1.792,2.083198
1.794,2.083182
1.796,2.083167
1.798,2.083151
1.800,2.083136

wl,k
0.350,0.000655
0.352,0.000637
0.354,0.000619
0.356,0.000602
0.358,0.000585
0.360,0.000569
0.362,0.000553
0.364,0.000538
0.366,0.000523
0.368,0.000509
0.370,0.000495
0.372,0.000482
0.374,0.000468
0.376,0.000456
0.378,0.000443
0.380,0.000431
0.382,0.000419
0.384,0.000408
0.386,0.000397
0.388,0.000386
0.390,0.000376
0.392,0.000365
0.394,0.000355
0.396,0.000346
0.398,0.000336
0.400,0.000327
0.402,0.000318
0.404,0.000309
0.406,0.000301
0.408,0.000292
0.410,0.000284
0.412,0.000276
0.414,0.000269
0.416,0.000261
0.418,0.000254
0.420,0.000247
0.422,0.000240
0.424,0.000233
0.426,0.000226
0.428,0.000220
0.430,0.000214
0.432,0.000207
0.434,0.000201
0.436,0.000196
0.438,0.000190
0.440,0.000184
0.442,0.000179
0.444,0.000173
0.446,0.000168
0.448,0.000163
0.450,0.000158
0.452,0.000153
0.454,0.000149
0.456,0.000144
0.458,0.000140
0.460,0.000135
0.462,0.000131
0.464,0.000127
0.466,0.000123
0.468,0.000119
0.470,0.000115
0.472,0.000111
0.474,0.000108
0.476,0.000104
0.478,0.000100
0.480,0.000100
0.482,0.000094
0.484,0.000090
0.486,0.000087
0.488,0.000084
0.490,0.000081
0.492,0.000078
0.494,0.000075
0.496,0.000073
0.498,0.000070
0.500,0.000067
0.502,0.000065
0.504,0.000062
0.506,0.000060
0.508,0.000057
0.510,0.000055
0.512,0.000053
0.514,0.000051
0.516,0.000048
0.518,0.000046
0.520,0.000044
0.522,0.000042
0.524,0.000041
0.526,0.000039
0.528,0.000037
0.530,0.000035
0.532,0.000033
0.534,0.000032
0.536,0.000030
0.538,0.000029
0.540,0.000027
0.542,0.000026
0.544,0.000024
0.546,0.000023
0.548,0.000022
0.550,0.000021
0.552,0.000019
0.554,0.000018
0.556,0.000017
0.558,0.000016
0.560,0.000015
0.562,0.000014
0.564,0.000013
0.566,0.000012
0.568,0.000011
0.570,0.000010
0.572,0.000009
0.574,0.000009
0.576,0.000008
0.578,0.000007
0.580,0.000007
0.582,0.000006
0.584,0.000005
0.586,0.000005
0.588,0.000004
0.590,0.000004
0.592,0.000003
0.594,0.000003
0.596,0.000003
0.598,0.000002
0.600,0.000002
0.602,0.000001
0.604,0.000001
0.606,0.000001
0.608,0.000001
0.610,0.000001
0.612,0
0.614,0
0.616,0
0.618,0
0.620,0
0.622,0
0.624,0
0.626,0
0.628,0
0.630,0
0.632,0
0.634,0
0.636,0
0.638,0
0.640,0
0.642,0
0.644,0
0.646,0
0.648,0
0.650,0
0.652,0
0.654,0
0.656,0
0.658,0
0.660,0
0.662,0
0.664,0
0.666,0
0.668,0
0.670,0
0.672,0
0.674,0
0.676,0
0.678,0
0.680,0
0.682,0
0.684,0
0.686,0
0.688,0
0.690,0
0.692,0
0.694,0
0.696,0
0.698,0
0.700,0
0.702,0
0.704,0
0.706,0
0.708,0
0.710,0
0.712,0
0.714,0
0.716,0
0.718,0
0.720,0
0.722,0
0.724,0
0.726,0
0.728,0
0.730,0
0.732,0
0.734,0
0.736,0
0.738,0
0.740,0
0.742,0
0.744,0
0.746,0
0.748,0
0.750,0
0.752,0
0.754,0
0.756,0
0.758,0
0.760,0
0.762,0
0.764,0
0.766,0
0.768,0
0.770,0
0.772,0
0.774,0
0.776,0
0.778,0
0.780,0
0.782,0
0.784,0
0.786,0
0.788,0
0.790,0
0.792,0
0.794,0
0.796,0
0.798,0
0.800,0
0.802,0
0.804,0
0.806,0
0.808,0
0.810,0
0.812,0
0.814,0
0.816,0
0.818,0
0.820,0
0.822,0
0.824,0
0.826,0
0.828,0
0.830,0
0.832,0
0.834,0
0.836,0
0.838,0
0.840,0
0.842,0
0.844,0
0.846,0
0.848,0
0.850,0
0.852,0
0.854,0
0.856,0
0.858,0
0.860,0
0.862,0
0.864,0
0.866,0
0.868,0
0.870,0
0.872,0
0.874,0
0.876,0
0.878,0
0.880,0
0.882,0
0.884,0
0.886,0
0.888,0
0.890,0
0.892,0
0.894,0
0.896,0
0.898,0
0.900,0
0.902,0
0.904,0
0.906,0
0.908,0
0.910,0
0.912,0
0.914,0
0.916,0
0.918,0
0.920,0
0.922,0
0.924,0
0.926,0
0.928,0
0.930,0
0.932,0
0.934,0
0.936,0
0.938,0
0.940,0
0.942,0
0.944,0
0.946,0
0.948,0
0.950,0
0.952,0
0.954,0
0.956,0
0.958,0
0.960,0
0.962,0
0.964,0
0.966,0
0.968,0
0.970,0
0.972,0
0.974,0
0.976,0
0.978,0
0.980,0
0.982,0
0.984,0
0.986,0
0.988,0
0.990,0
0.992,0
0.994,0
0.996,0
0.998,0
1.000,0
1.002,0
1.004,0
1.006,0
1.008,0
1.010,0
1.012,0
1.014,0
1.016,0
1.018,0
1.020,0
1.022,0
1.024,0
1.026,0
1.028,0
1.030,0
1.032,0
1.034,0
1.036,0
1.038,0
1.040,0
1.042,0
1.044,0
1.046,0
1.048,0
1.050,0
1.052,0
1.054,0
1.056,0
1.058,0
1.060,0
1.062,0
1.064,0
1.066,0
1.068,0
1.070,0
1.072,0
1.074,0
1.076,0
1.078,0
1.080,0
1.082,0
1.084,0
1.086,0
1.088,0
1.090,0
1.092,0
1.094,0
1.096,0
1.098,0
1.100,0
1.102,0
1.104,0
1.106,0
1.108,0
1.110,0
1.112,0
1.114,0
1.116,0
1.118,0
1.120,0
1.122,0
1.124,0
1.126,0
1.128,0
1.130,0
1.132,0
1.134,0
1.136,0
1.138,0
1.140,0
1.142,0
1.144,0
1.146,0
1.148,0
1.150,0
1.152,0
1.154,0
1.156,0
1.158,0
1.160,0
1.162,0
1.164,0
1.166,0
1.168,0
1.170,0
1.172,0
1.174,0
1.176,0
1.178,0
1.180,0
1.182,0
1.184,0
1.186,0
1.188,0
1.190,0
1.192,0
1.194,0
1.196,0
1.198,0
1.200,0
1.202,0
1.204,0
1.206,0
1.208,0
1.210,0
1.212,0
1.214,0
1.216,0
1.218,0
1.220,0
1.222,0
1.224,0
1.226,0
1.228,0
1.230,0
1.232,0
1.234,0
1.236,0
1.238,0
1.240,0
1.242,0
1.244,0
1.246,0
1.248,0
1.250,0
1.252,0
1.254,0
1.256,0
1.258,0
1.260,0
1.262,0
1.264,0
1.266,0
1.268,0
1.270,0
1.272,0
1.274,0
1.276,0
1.278,0
1.280,0
1.282,0
1.284,0
1.286,0
1.288,0
1.290,0
1.292,0
1.294,0
1.296,0
1.298,0
1.300,0
1.302,0
1.304,0
1.306,0
1.308,0
1.310,0
1.312,0
1.314,0
1.316,0
1.318,0
1.320,0
1.322,0
1.324,0
1.326,0
1.328,0
1.330,0
1.332,0
1.334,0
1.336,0
1.338,0
1.340,0
1.342,0
1.344,0
1.346,0
1.348,0
1.350,0
1.352,0
1.354,0
1.356,0
1.358,0
1.360,0
1.362,0
1.364,0
1.366,0
1.368,0
1.370,0
1.372,0
1.374,0
1.376,0
1.378,0
1.380,0
1.382,0
1.384,0
1.386,0
1.388,0
1.390,0
1.392,0
1.394,0
1.396,0
1.398,0
1.400,0
1.402,0
1.404,0
1.406,0
1.408,0
1.410,0
1.412,0
1.414,0
1.416,0
1.418,0
1.420,0
1.422,0
1.424,0
1.426,0
1.428,0
1.430,0
1.432,0
1.434,0
1.436,0
1.438,0
1.440,0
1.442,0
1.444,0
1.446,0
1.448,0
1.450,0
1.452,0
1.454,0
1.456,0
1.458,0
1.460,0
1.462,0
1.464,0
1.466,0
1.468,0
1.470,0
1.472,0
1.474,0
1.476,0
1.478,0
1.480,0
1.482,0
1.484,0
1.486,0
1.488,0
1.490,0
1.492,0
1.494,0
1.496,0
1.498,0
1.500,0
1.502,0
1.504,0
1.506,0
1.508,0
1.510,0
1.512,0
1.514,0
1.516,0
1.518,0
1.520,0
1.522,0
1.524,0
1.526,0
1.528,0
1.530,0
1.532,0
1.534,0
1.536,0
1.538,0
1.540,0
1.542,0
1.544,0
1.546,0
1.548,0
1.550,0
1.552,0
1.554,0
1.556,0
1.558,0
1.560,0
1.562,0
1.564,0
1.566,0
1.568,0
1.570,0
1.572,0
1.574,0
1.576,0
1.578,0
1.580,0
1.582,0
1.584,0
1.586,0
1.588,0
1.590,0
1.592,0
1.594,0
1.596,0
1.598,0
1.600,0
1.602,0
1.604,0
1.606,0
1.608,0
1.610,0
1.612,0
1.614,0
1.616,0
1.618,0
1.620,0
1.622,0
1.624,0
1.626,0
1.628,0
1.630,0
1.632,0
1.634,0
1.636,0
1.638,0
1.640,0
1.642,0
1.644,0
1.646,0
1.648,0
1.650,0
1.652,0
1.654,0
1.656,0
1.658,0
1.660,0
1.662,0
1.664,0
1.666,0
1.668,0
1.670,0
1.672,0
1.674,0
1.676,0
1.678,0
1.680,0
1.682,0
1.684,0
1.686,0
1.688,0
1.690,0
1.692,0
1.694,0
1.696,0
1.698,0
1.700,0
1.702,0
1.704,0
1.706,0
1.708,0
1.710,0
1.712,0
1.714,0
1.716,0
1.718,0
1.720,0
1.722,0
1.724,0
1.726,0
1.728,0
1.730,0
1.732,0
1.734,0
1.736,0
1.738,0
1.740,0
1.742,0
1.744,0
1.746,0
1.748,0
1.750,0
1.752,0
1.754,0
1.756,0
1.758,0
1.760,0
1.762,0
1.764,0
1.766,0
1.768,0
1.770,0
1.772,0
1.774,0
1.776,0
1.778,0
1.780,0
1.782,0
1.784,0
1.786,0
1.788,0
1.790,0
1.792,0
1.794,0
1.796,0
1.798,0
1.800,0
